RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
19,Los Angeles Clippers,1985,82,31,51,West,240.6,43,86.8,0.495,0.7,2.3,0.298,42.3,84.5,0.501,20.4,26.9,0.758,14.2,29.7,23.6,6.5,6.1,19.4,22.4,107.1
20,Atlanta Hawks,1985,82,34,48,East,242.1,42,86.8,0.484,0.9,2.9,0.311,41.1,84,0.49,21.7,28.9,0.752,14.2,28.6,24.5,8.1,6.6,18,25,106.6
21,Washington Bullets*,1985,82,40,42,East,242.1,43.1,90,0.479,1.3,4.9,0.274,41.8,85.2,0.49,18,24.3,0.743,12.3,29.2,25.5,8.6,4.8,15.6,22.8,105.5
22,New York Knicks,1985,82,24,58,East,241.8,41.9,86.6,0.484,0.6,2.4,0.258,41.3,84.2,0.49,20.8,28.7,0.726,13.6,25.6,24.4,9.2,3.3,17.8,29.2,105.2
23,Seattle SuperSonics,1985,82,31,51,West,240.3,40,84.3,0.474,0.5,2.3,0.243,39.4,82,0.481,21.7,28.1,0.771,12.4,27.9,26.6,7.9,4.2,18.2,24.1,102.1
1,Los Angeles Lakers*,1986,82,62,20,West,241.8,46.8,89.5,0.522,1.7,5,0.337,45.1,84.6,0.533,22.1,28.4,0.778,13.4,31.2,29.7,8.5,5.1,17.9,24.8,117.3
2,Dallas Mavericks*,1986,82,44,38,West,241.5,44.3,88.5,0.501,1.7,5.4,0.316,42.6,83,0.513,25,32.2,0.776,12.9,29.9,25.7,7.4,4.5,15.7,21.1,115.3
3,Portland Trail Blazers*,1986,82,40,42,West,242.1,44,88.8,0.496,0.9,3.4,0.269,43.1,85.4,0.505,26.1,34.1,0.765,14.1,28.2,26.6,10.5,4.3,18.6,26.9,115.1
4,Denver Nuggets*,1986,82,47,35,West,240.9,45.2,96,0.471,0.9,3.7,0.233,44.3,92.2,0.48,23.5,29.5,0.798,14.9,28.3,26.1,10.1,5.1,16.3,26.4,114.8
5,Milwaukee Bucks*,1986,82,57,25,East,241.5,43.9,89.1,0.493,1.5,4.7,0.327,42.4,84.5,0.502,25.2,32.9,0.764,14.5,29.5,26.3,9.8,5.6,16.7,27,114.5
6,Houston Rockets*,1986,82,51,31,West,240.9,45.8,93.5,0.49,1,3.8,0.274,44.8,89.8,0.499,21.7,29.7,0.73,16,29.7,28.3,9.1,6.7,16.8,24.3,114.4
7,Detroit Pistons*,1986,82,46,36,East,241.2,45.8,94.5,0.484,0.7,2.2,0.302,45.1,92.3,0.489,22,28,0.783,15.6,30,28.3,9,4.1,16.4,25.6,114.2
8,Boston Celtics*,1986,82,67,15,East,242.1,45.3,89.2,0.508,1.7,4.8,0.351,43.7,84.4,0.517,21.8,27.4,0.794,12.9,33.6,29.1,7.8,6.2,16.6,21.4,114.1
9,Golden State Warriors,1986,82,30,52,West,241.2,44.5,92.3,0.482,1.1,3.4,0.313,43.5,88.9,0.489,23.3,30.7,0.76,15.5,28.6,24.6,9.2,4.3,17.1,24.8,113.4
10,San Antonio Spurs*,1986,82,35,47,West,241.5,43.9,86.6,0.506,0.6,2.4,0.235,43.3,84.2,0.514,23,30.8,0.746,13,29.4,27.6,9.8,4.8,19.8,25.8,111.2
11,Philadelphia 76ers*,1986,82,54,28,East,242.7,41.9,86.1,0.487,0.6,2.7,0.228,41.3,83.3,0.495,26,34.3,0.758,16.2,29,24.6,10.5,6,19.5,21.9,110.4
12,Phoenix Suns,1986,82,32,50,West,241.5,42.9,85.3,0.503,0.5,2.2,0.208,42.4,83,0.511,23.8,32.7,0.726,12.6,29.9,27.7,9.4,4.6,21.5,27.6,110
13,Chicago Bulls*,1986,82,30,52,East,242.1,42.4,88.1,0.481,1.1,3.9,0.278,41.3,84.3,0.49,23.4,30.5,0.769,15.6,27.8,24.5,7.4,4.9,17.5,26.4,109.3
14,New Jersey Nets*,1986,82,39,43,East,241.5,43.3,89,0.486,0.5,2.6,0.201,42.7,86.4,0.495,22.1,29.2,0.755,14.4,30.3,26,9.1,4.2,19.2,26,109.1
15,Sacramento Kings*,1986,82,37,45,West,241.2,43.1,88,0.49,0.4,1.6,0.224,42.8,86.4,0.495,22.2,28.5,0.778,13.8,29,28.1,7.3,4.7,18.7,26,108.8
16,Los Angeles Clippers,1986,82,32,50,West,240.9,41.3,87.4,0.473,0.8,2.8,0.279,40.5,84.6,0.479,25.2,32.7,0.77,14.1,27.5,24,8.5,6.1,18.4,23.5,108.6
17,Atlanta Hawks*,1986,82,50,32,East,241.5,42,85.7,0.49,0.4,2,0.199,41.6,83.7,0.497,24.1,33,0.732,15.2,29.3,24.7,9,5.3,18.1,26.5,108.6
18,Utah Jazz*,1986,82,42,40,West,241.2,42.1,86.4,0.488,0.4,2.1,0.207,41.7,84.3,0.494,23.5,32.9,0.716,13,30.2,26.8,8.7,8.1,18.5,24.9,108.2
19,Cleveland Cavaliers,1986,82,29,53,East,241.2,42.4,88.3,0.48,1.6,4.8,0.338,40.8,83.5,0.489,21.3,28.4,0.752,13.2,29.9,25.2,7.6,5.3,17.2,27.6,107.8
20,Seattle SuperSonics,1986,82,31,51,West,243,40.7,86.1,0.472,1,3.7,0.263,39.7,82.4,0.482,22.1,28.4,0.779,14,27.5,24.1,9.1,3.6,17.5,26.4,104.4
21,Indiana Pacers,1986,82,26,56,East,240.9,42,87.2,0.481,0.3,1.7,0.161,41.7,85.5,0.488,19.7,26.6,0.739,13.9,31.9,26.3,8,4.6,18.5,26,103.9
22,Washington Bullets*,1986,82,39,43,East,242.1,40.4,87.2,0.463,1.4,5,0.284,39,82.2,0.474,20.8,27.9,0.745,13,29.7,21.3,7.6,8.7,16.4,21.9,103
23,New York Knicks,1986,82,23,59,East,241.5,39.5,85.8,0.46,1,2.9,0.343,38.5,82.9,0.465,18.7,27.3,0.686,13.2,26.5,22.9,8.7,3.8,17.5,27,98.7
1,Portland Trail Blazers*,1987,82,49,33,West,241.5,44.5,88.4,0.504,1.2,4.1,0.289,43.3,84.3,0.514,27.7,35.7,0.775,14.4,29.4,28.8,9.4,4.7,18.9,25.4,117.9
2,Los Angeles Lakers*,1987,82,65,17,West,240.6,45.6,88.4,0.516,2,5.5,0.367,43.6,82.9,0.526,24.5,31.1,0.789,13.7,30.7,29.6,8.9,5.9,16.6,22.6,117.8
3,Denver Nuggets*,1987,82,37,45,West,241.2,45.7,97,0.471,1.3,4.8,0.271,44.4,92.2,0.481,24.1,31.3,0.769,15.8,28.9,28.3,9.2,5.1,14.8,26.6,116.7
4,Dallas Mavericks*,1987,82,55,27,West,242.4,43.8,89.9,0.487,2.8,8,0.354,41,82,0.5,26.2,33.1,0.791,14.9,30.4,24.6,8.4,5.2,14.7,22.8,116.7
5,Seattle SuperSonics*,1987,82,39,43,West,242.1,43.8,90.9,0.482,2.3,7,0.335,41.5,83.9,0.494,23.8,31.4,0.758,16.7,29.2,26.6,8.6,5.5,18.4,27.1,113.7
6,Boston Celtics*,1987,82,59,23,East,241.5,44.5,86,0.517,2.5,6.9,0.366,41.9,79.1,0.53,21.2,26.3,0.808,11.4,31.5,29.5,6.8,6.4,15.9,20.9,112.6
7,Golden State Warriors*,1987,82,42,40,West,242.7,43.3,90.4,0.479,1.4,4.4,0.319,41.9,86,0.487,24,30.8,0.78,14.5,28.7,25.4,8.7,3.9,16.5,26.1,112
8,Detroit Pistons*,1987,82,52,30,East,241.8,43.2,88.3,0.49,0.5,2.1,0.231,42.7,86.2,0.496,24.3,31.7,0.765,15.2,32.3,24.6,7.8,5.3,17.3,25.3,111.2
9,Phoenix Suns,1987,82,36,46,West,242.1,43.6,87.7,0.497,0.7,3.1,0.242,42.9,84.6,0.506,23.2,30.5,0.76,13.6,28.9,28.7,8.6,4.8,18.3,25,111.1
10,Sacramento Kings,1987,82,29,53,West,241.2,43,90.4,0.475,0.9,3.7,0.251,42,86.7,0.485,24.1,30.2,0.796,15.6,29.8,26.6,6.3,4.8,17.1,24.5,110.9
11,Milwaukee Bucks*,1987,82,50,32,East,241.2,42.2,88.8,0.475,2.3,7,0.323,39.9,81.8,0.488,23.8,31.1,0.766,13.6,28.3,24.9,10.3,4.8,15.4,26.6,110.4
12,Atlanta Hawks*,1987,82,57,25,East,240.6,41.9,87.1,0.481,1.6,5.2,0.318,40.2,81.9,0.491,24.6,32.5,0.759,16.5,30.2,25.3,8.5,6.2,15.6,26.2,110
13,New Jersey Nets,1987,82,24,58,East,242.1,41.1,86.4,0.476,1.8,5.5,0.323,39.4,80.9,0.487,24.4,31.8,0.767,14.3,29.4,24.3,7.8,4.8,19.7,28.7,108.5
14,San Antonio Spurs,1987,82,28,54,West,241.5,43.1,90.9,0.474,1.4,4.9,0.29,41.6,86,0.484,20.7,28,0.742,15.7,28.6,27.1,9.6,4,17.1,23.5,108.3
15,Utah Jazz*,1987,82,44,38,West,240.9,42.5,91.6,0.464,1.7,5.5,0.31,40.8,86.2,0.474,21.2,29.1,0.726,14.6,30,27.3,10.2,7.7,17.1,24.9,107.9
16,Houston Rockets*,1987,82,42,40,West,241.2,42.3,88.6,0.477,1.1,4,0.275,41.2,84.6,0.487,21.3,28.7,0.741,14.5,30.3,27.2,8,6.8,16.9,24.1,106.9
17,Philadelphia 76ers*,1987,82,45,37,East,242.4,40.7,82.8,0.491,1.1,4.1,0.259,39.6,78.7,0.503,24,31.9,0.753,14.4,28.4,23.7,9.4,6.6,18.5,21.6,106.5
18,Indiana Pacers*,1987,82,41,41,East,243,42.1,89.3,0.472,1.1,3.9,0.297,41,85.5,0.479,20.7,26.5,0.782,13.8,30,26.5,8.5,3.8,15.6,25.6,106.1
19,Washington Bullets*,1987,82,42,40,East,240.3,40.9,90.2,0.454,0.5,2.7,0.197,40.4,87.5,0.461,23.6,30.9,0.765,15.9,28.2,21.3,9.2,8.4,15.9,21.6,106
20,Chicago Bulls*,1987,82,40,42,East,241.8,41.2,87.3,0.473,1,3.6,0.261,40.3,83.6,0.482,21.4,27.5,0.778,15.2,29.3,26.1,8.3,5.3,15.3,23.4,104.8
21,Los Angeles Clippers,1987,82,12,70,West,241.2,40.4,89.4,0.452,1,4.2,0.224,39.4,85.2,0.463,22.8,30.7,0.742,15,26.1,24,9.2,5.3,18.2,24.4,104.5
22,Cleveland Cavaliers,1987,82,31,51,East,240.9,40.8,86.9,0.47,1,4.1,0.24,39.9,82.7,0.482,21.7,31.1,0.697,15.3,29.5,23.3,8.2,6.8,19.7,22.6,104.4
23,New York Knicks,1987,82,24,58,East,241.2,40.6,85.6,0.474,1.5,4.6,0.333,39.1,81.1,0.482,21,28.8,0.73,13.5,26.4,23.7,8.6,4.8,17.3,24.7,103.8
1,Denver Nuggets*,1988,82,54,28,West,241.2,46,97.1,0.474,2.3,6.9,0.342,43.6,90.2,0.484,22.5,27.9,0.804,14.2,29.8,28,10.1,4.9,14.5,24.2,116.7
2,Portland Trail Blazers*,1988,82,53,29,West,240.6,44.6,91,0.491,1.4,4.6,0.308,43.2,86.3,0.501,25.4,32.9,0.77,15.3,30.4,28.1,8.9,4.2,16.5,25.5,116.1
3,Boston Celtics*,1988,82,57,25,East,241.2,43.9,84.2,0.521,3.3,8.6,0.384,40.6,75.6,0.537,22.5,28,0.803,11.3,29.8,29.9,7.6,5.1,15.9,22,113.6
4,San Antonio Spurs*,1988,82,31,51,West,241.5,45.2,92.2,0.49,1.6,5,0.323,43.6,87.2,0.5,21.6,29.4,0.733,14.4,28.5,28.6,9,5.7,17.3,24.3,113.6
5,Los Angeles Lakers*,1988,82,62,20,West,241.5,43.6,86.3,0.505,1.7,5.8,0.297,41.9,80.5,0.52,23.9,30.2,0.789,13.1,30.4,28.6,8.2,4.9,16.1,20.9,112.8
6,Seattle SuperSonics*,1988,82,44,38,West,242.1,43.2,90.8,0.476,2.7,7.8,0.346,40.5,83,0.488,22.3,29.8,0.748,16,28.2,26.2,9.5,5.5,16.8,29,111.4
7,Dallas Mavericks*,1988,82,53,29,West,240.9,41.6,87.7,0.475,1.9,6.4,0.293,39.7,81.3,0.489,24.1,30.6,0.789,16.4,30.4,24.2,7.9,5.4,15.3,21.1,109.3
8,Detroit Pistons*,1988,82,54,28,East,241.2,42.2,85.6,0.493,0.7,2.5,0.287,41.5,83.1,0.499,24.1,31.9,0.757,14.4,30.3,24.5,7.2,4.8,16.4,23.9,109.2
9,Houston Rockets*,1988,82,46,36,West,240,42.3,89.7,0.471,0.8,3.5,0.237,41.4,86.1,0.481,23.6,30.3,0.78,15.1,30.9,23.6,8.7,6.1,16.7,22.7,109
10,Phoenix Suns,1988,82,28,54,West,240.6,43.3,89,0.486,1.4,4.4,0.331,41.9,84.7,0.494,20.5,26.8,0.764,13.6,29,28.4,8.2,4.3,17.2,24.9,108.5
11,Utah Jazz*,1988,82,47,35,West,240.3,42.5,86.5,0.491,1.6,4.9,0.319,40.9,81.6,0.502,22,29.3,0.75,13,31.1,29.4,9.4,7.6,18.1,24.2,108.5
12,Sacramento Kings,1988,82,24,58,West,241.2,42.2,89.5,0.471,1.8,5.5,0.32,40.4,84,0.481,21.9,28.3,0.772,15,30,25.8,7.1,6,17.8,23.1,108
13,Atlanta Hawks*,1988,82,50,32,East,241.2,42,86.6,0.485,1,3.4,0.301,41,83.2,0.492,22.8,29.8,0.767,15,29,25.1,7.7,6.5,14.9,25,107.9
14,Golden State Warriors,1988,82,20,62,West,241.2,42.2,90.3,0.468,1.1,3.8,0.292,41.1,86.5,0.475,21.4,26.9,0.796,13.9,27.5,24.5,9,3.5,17,26.3,107
15,Milwaukee Bucks*,1988,82,42,40,East,241.2,41,86.3,0.475,1.6,5,0.324,39.4,81.3,0.485,22.3,28.8,0.775,13.6,28.5,26.8,8.2,4.6,15.5,24.3,106.1
16,Philadelphia 76ers,1988,82,36,46,East,242.7,39.2,82.7,0.474,1.9,5.7,0.323,37.3,77,0.485,25.5,33.3,0.764,14.9,28.1,23.1,8.2,5.7,17.5,22.8,105.7
17,New York Knicks*,1988,82,38,44,East,241.5,41,88.2,0.465,2.2,6.9,0.316,38.8,81.3,0.478,21.3,28.1,0.759,15.7,26.8,24.5,9.6,5.4,18.5,28.8,105.5
18,Washington Bullets*,1988,82,38,44,East,242.4,40.9,87.4,0.468,0.4,1.7,0.21,40.6,85.7,0.473,23.3,30.2,0.773,15,28,22.9,8.5,6.1,16.9,23.4,105.5
19,Chicago Bulls*,1988,82,50,32,East,242.1,41.9,85.5,0.49,0.7,3,0.23,41.2,82.6,0.499,20.5,27.1,0.759,14.3,30,26.2,8.7,5.8,15.4,22.5,105
20,Indiana Pacers,1988,82,38,44,East,240.3,41.9,87.2,0.48,2,5.9,0.336,39.9,81.3,0.491,18.9,24.2,0.78,13.1,30,24.1,7.5,4.2,16.1,24.9,104.6
21,Cleveland Cavaliers*,1988,82,42,40,East,241.2,40.4,82.4,0.49,1.5,4.1,0.378,38.9,78.3,0.496,22.1,29.7,0.744,12.4,27.9,25.2,8.9,6.4,17.5,22.4,104.5
22,New Jersey Nets,1988,82,19,63,East,241.2,39.1,83.6,0.468,1.7,5.5,0.301,37.5,78.1,0.48,20.5,28.1,0.729,13.1,27.6,21.9,8.9,4.7,18.3,24.9,100.4
23,Los Angeles Clippers,1988,82,17,65,West,241.5,38.9,87.7,0.443,1,3.9,0.249,37.9,83.9,0.452,20,28.1,0.713,14.5,28.7,23,8.8,6.3,18.7,23.3,98.8
1,Phoenix Suns*,1989,82,55,27,West,240.9,45.8,92,0.498,2,5.9,0.349,43.7,86.1,0.508,25,31.6,0.791,13.4,31.9,27.8,8.5,5.1,15.6,23.6,118.6
2,Denver Nuggets*,1989,82,44,38,West,242.4,46.5,99.3,0.468,2.8,8.2,0.337,43.7,91,0.48,22.2,28.2,0.787,14.7,30.6,27.8,9.9,5.3,14.9,25.5,118
3,New York Knicks*,1989,82,52,30,East,241.5,45.1,92.8,0.486,4.7,14,0.337,40.4,78.8,0.513,21.7,28.9,0.752,16.1,27.6,25.4,11,5.4,19.2,25,116.7
4,Golden State Warriors*,1989,82,43,39,West,242.7,45.5,97.3,0.468,2.4,7.7,0.308,43.1,89.6,0.481,23.2,29.1,0.799,16.1,31.2,24.5,10.1,7.8,18.1,23.7,116.6
5,Los Angeles Lakers*,1989,82,57,25,West,241.5,43.7,87.1,0.502,2.8,8.1,0.34,40.9,79,0.518,24.5,30.6,0.802,13.3,31.9,27.8,8.8,5.1,16.4,20.4,114.7
6,Portland Trail Blazers*,1989,82,39,43,West,241.8,45.1,95.1,0.474,2.6,7.9,0.335,42.4,87.2,0.487,21.8,29.5,0.74,16.9,29,27,10.1,4.7,17.5,24.7,114.6
7,Seattle SuperSonics*,1989,82,47,35,West,241.2,43.5,91.2,0.477,3.6,9.4,0.379,39.9,81.8,0.488,21.6,29,0.746,17,27.3,25.4,10.5,6,17.1,24.7,112.1
8,Philadelphia 76ers*,1989,82,46,36,East,241.2,42.7,87.8,0.486,2.5,7.9,0.316,40.2,79.9,0.503,24,30.5,0.787,13.9,28.7,25.7,8.4,4.3,14.8,21,111.9
9,Atlanta Hawks*,1989,82,52,30,East,241.5,41.6,88.2,0.472,1.3,4.8,0.277,40.3,83.3,0.483,26.4,33,0.8,16.7,28.2,24.3,10,5.8,16,22.9,111
10,Boston Celtics*,1989,82,42,40,East,241.2,42.9,87.1,0.493,1,3.8,0.252,42,83.3,0.504,22.4,28.6,0.783,14.4,29.8,26.7,7.8,5.1,16.3,22.9,109.2
11,Milwaukee Bucks*,1989,82,49,33,East,240.9,41.5,87.4,0.474,2.2,6.9,0.316,39.3,80.5,0.488,23.8,29,0.821,13.8,27.7,25.3,10,3.9,15.9,23.8,108.9
12,Cleveland Cavaliers*,1989,82,57,25,East,240.9,42.3,84.2,0.502,2.1,5.8,0.359,40.2,78.4,0.513,22.2,29.7,0.747,12.6,30.2,27.6,9.6,7.1,16.1,19.4,108.8
13,Houston Rockets*,1989,82,45,37,West,242.1,41.6,87.8,0.474,2,6.4,0.314,39.6,81.4,0.487,23.3,30.8,0.755,14.8,31.1,24.6,9.6,6.1,19.1,24.7,108.5
14,Washington Bullets,1989,82,40,42,East,242.1,42.9,92.6,0.464,0.6,3,0.214,42.3,89.6,0.472,21.8,28.3,0.772,15.3,28.7,25,8.5,4,15.7,25,108.3
15,Indiana Pacers,1989,82,28,54,East,242.1,41.3,84.7,0.487,2.5,7.5,0.328,38.8,77.2,0.503,21.9,27.7,0.789,13,30.5,24.5,6.9,5.1,18.9,25.7,106.9
16,Detroit Pistons*,1989,82,63,19,East,241.8,41.4,83.9,0.494,1.5,4.9,0.3,39.9,79,0.505,22.3,29,0.769,14.1,31,24.7,6.4,5,16.3,23.6,106.6
17,Chicago Bulls*,1989,82,47,35,East,241.2,42,85,0.495,2.1,6.5,0.328,39.9,78.5,0.509,20.2,25.7,0.786,12.4,29.9,27,8.8,4.6,16.2,22.6,106.4
18,Los Angeles Clippers,1989,82,21,61,West,242.1,43,90.6,0.475,0.7,2.9,0.231,42.3,87.7,0.483,19.6,27.1,0.723,14.1,29.1,26.9,9.9,6.5,20.3,23.6,106.2
19,San Antonio Spurs,1989,82,21,61,West,240.9,42.3,90.4,0.468,0.8,3.6,0.215,41.5,86.8,0.479,20.1,28.9,0.698,15.8,26.6,24.8,11.7,5.2,20.9,26.3,105.5
20,Sacramento Kings,1989,82,27,55,West,241.2,41,89.6,0.457,3.7,10,0.373,37.3,79.6,0.468,19.8,25.7,0.77,13.9,29.9,24,7.6,5,16.7,22.9,105.5
21,Utah Jazz*,1989,82,51,31,West,240.6,38.8,80.4,0.482,1.4,4.6,0.3,37.4,75.8,0.494,25.7,33.4,0.77,12.8,31.8,25.7,8.8,7.1,18.7,23.1,104.7
22,Charlotte Hornets,1989,82,20,62,East,241.2,41.8,90.6,0.461,1.6,5.2,0.312,40.1,85.4,0.47,19.3,25.1,0.767,13.9,26.8,28.3,8.6,3.2,16.1,25.2,104.5
23,New Jersey Nets,1989,82,26,56,East,241.5,40.6,88.1,0.461,2.3,6.9,0.329,38.4,81.2,0.473,20.2,27.6,0.731,14.7,29.5,21.9,9.4,5.3,17.7,24,103.7
24,Dallas Mavericks,1989,82,38,44,West,241.2,39.6,84.4,0.469,2.6,8.3,0.31,37,76,0.486,21.8,27.6,0.789,12.8,29.2,22.8,7.1,5.8,15,21.2,103.5
25,Miami Heat,1989,82,15,67,West,242.1,39.3,86.8,0.453,1.2,3.6,0.326,38.1,83.1,0.458,18,25.6,0.702,16,27,23.9,9.1,5,21.1,25.9,97.8
1,Golden State Warriors,1990,82,37,45,West,240.3,42.5,87.9,0.484,3,9.1,0.324,39.6,78.8,0.503,28.2,34.9,0.809,11.2,29.1,24.1,9.2,6,17.3,24.5,116.3
2,Phoenix Suns*,1990,82,54,28,West,242.1,43.2,87.1,0.496,2.1,6.6,0.324,41.1,80.4,0.511,26.3,33.1,0.795,12.8,32.3,25.7,8.1,6.1,15.5,22.3,114.9
3,Denver Nuggets*,1990,82,43,39,West,241.5,45.3,97.7,0.464,2.8,8.3,0.337,42.5,89.5,0.475,21.2,26.8,0.789,14.3,30.9,27.7,9.9,4,13.9,25,114.6
4,Portland Trail Blazers*,1990,82,59,23,West,242.4,43.6,92,0.473,2.3,6.9,0.336,41.2,85.1,0.484,24.8,33.3,0.743,16.5,31.1,25.4,9.1,4.4,16.5,25,114.2
5,Orlando Magic,1990,82,18,64,East,241.5,42.2,91.8,0.459,1.4,4.8,0.295,40.7,87,0.468,25.1,33.2,0.756,15.9,30.1,24.3,7.5,3.6,17.2,24.1,110.9
6,Los Angeles Lakers*,1990,82,63,19,West,242.1,41.9,85.5,0.49,3.8,10.3,0.367,38.1,75.2,0.507,23.2,29.5,0.787,13.4,30,27.2,8,5.4,15,21.2,110.7
7,Philadelphia 76ers*,1990,82,53,29,East,241.5,41.9,85.7,0.489,2.3,6.6,0.348,39.6,79.1,0.501,24.1,30.6,0.788,13.5,29.3,23.6,8.4,4.5,14.7,20.7,110.2
8,Boston Celtics*,1990,82,52,30,East,240.3,43.5,87.2,0.498,1.3,4.9,0.262,42.2,82.2,0.513,21.8,26.3,0.832,13,33,29.5,6.6,5.5,15.3,20.9,110
9,Chicago Bulls*,1990,82,55,27,East,241.8,43.1,86.5,0.498,3,8.2,0.374,40,78.3,0.511,20.3,26.1,0.778,13.1,27.8,26.5,9.9,4.7,15.2,23.2,109.5
10,Indiana Pacers*,1990,82,42,40,East,242.4,41.2,83,0.497,3.6,9.4,0.382,37.6,73.6,0.511,23.2,28.5,0.816,11.5,29.1,24.7,6.7,4.3,16.4,24,109.3
11,Atlanta Hawks,1990,82,41,41,East,240.6,41.7,85.6,0.487,1.5,5,0.302,40.2,80.6,0.498,23.7,31,0.764,15.5,26.7,22.2,8.7,4.3,15.5,22.8,108.5
12,New York Knicks*,1990,82,45,37,East,241.8,41.9,86.5,0.484,2.9,8.7,0.332,39,77.8,0.501,21.6,28.6,0.756,14.5,29.6,26.1,8.7,6,17.2,22.3,108.3
13,Washington Bullets,1990,82,31,51,East,241.8,43.9,92.5,0.475,0.5,2.4,0.188,43.4,90,0.482,19.5,25.5,0.764,14.6,29.9,27,6.8,5.2,14.6,23.5,107.7
14,Seattle SuperSonics,1990,82,41,41,West,242.7,42.3,88.3,0.479,2.8,7.9,0.355,39.5,80.4,0.491,19.6,26.4,0.741,16.1,27.5,22.9,8.5,4.1,16.3,25.2,106.9
15,Utah Jazz*,1990,82,55,27,West,241.8,40.6,80.4,0.505,2.8,7.7,0.359,37.9,72.7,0.521,22.9,30.3,0.754,11.6,30.5,27,8.3,6,17.2,24.8,106.8
16,Houston Rockets*,1990,82,41,41,West,241.5,42.5,88.4,0.48,1.9,6,0.312,40.6,82.4,0.493,19.9,27.6,0.72,14.8,32.2,26.8,9.9,6.7,18.5,23.6,106.7
17,San Antonio Spurs*,1990,82,56,26,West,240.6,41.3,85.3,0.484,0.7,2.8,0.239,40.7,82.6,0.492,23,30.9,0.745,14.2,30.2,24.8,9.7,6.8,17.1,22.6,106.3
18,Milwaukee Bucks*,1990,82,44,38,East,241.8,41.2,87.1,0.473,2.5,8.2,0.312,38.7,79,0.49,21,27.7,0.758,13.5,27.4,25,10.1,4,16,25.4,106
19,Detroit Pistons*,1990,82,59,23,East,241.5,40.6,85.1,0.478,2.2,6.6,0.327,38.5,78.5,0.49,20.9,27.5,0.761,14.5,30,24.3,6.2,5.1,15,23.9,104.3
20,Los Angeles Clippers,1990,82,30,52,West,241.5,40.5,83.6,0.484,0.7,2.8,0.243,39.8,80.8,0.493,22.1,30,0.738,12.9,28.8,24.1,9.5,6.2,18.9,22.7,103.8
21,Cleveland Cavaliers*,1990,82,42,40,East,242.4,39.2,85.1,0.461,4.2,10.4,0.407,35,74.7,0.468,20,26.8,0.744,13.8,29,25.7,7.9,6.2,15.2,20.3,102.6
22,Dallas Mavericks*,1990,82,47,35,West,242.1,39.6,83.3,0.475,1.9,5.9,0.323,37.7,77.4,0.487,21.2,27.6,0.767,12.7,29.5,21.7,8.1,4.9,15,21.1,102.2
23,Sacramento Kings,1990,82,23,59,West,240.9,40.3,86,0.468,2.6,7.9,0.333,37.7,78.1,0.482,18.5,24,0.771,11.6,28.8,25,6.7,4.8,15.1,22.7,101.7
24,Miami Heat,1990,82,18,64,East,240.6,41.3,89.6,0.461,1.1,3.7,0.293,40.2,85.9,0.468,17,24.7,0.687,15.1,28.2,23.9,9,4.7,19,25.9,100.6
25,Charlotte Hornets,1990,82,19,63,West,240.9,39.9,87.6,0.455,2.5,7.5,0.336,37.4,80.1,0.466,18.1,24,0.756,11.7,27,25.4,9.5,3.2,15,23,100.4
26,New Jersey Nets,1990,82,17,65,East,240.3,38.5,90.4,0.426,1.7,6.2,0.277,36.8,84.3,0.437,21.4,28.7,0.746,16.6,28.3,18,9.4,5.9,16.6,23.8,100.1
27,Minnesota Timberwolves,1990,82,22,60,West,242.1,37.4,83.9,0.446,0.9,3.6,0.248,36.5,80.3,0.455,19.5,26.1,0.747,14.6,25,22.5,9.6,4.2,14.6,23.2,95.2
1,Denver Nuggets,1991,82,20,62,West,240.6,47.6,108.1,0.44,3.7,12.9,0.283,43.9,95.2,0.461,21,27.6,0.763,18.5,30.9,24.5,10.4,5,16.2,27.3,119.9
2,Golden State Warriors*,1991,82,44,38,West,241.5,43.5,89.6,0.485,3.3,9.8,0.337,40.2,79.8,0.504,26.4,33.7,0.783,13.6,28.1,23.8,9.8,4.6,16.6,26.9,116.6
3,Portland Trail Blazers*,1991,82,63,19,West,242.7,43.6,89.9,0.485,4.2,11,0.377,39.5,78.8,0.501,23.3,31,0.753,14.7,31.2,27.5,8.8,5,16,24.1,114.7
4,Phoenix Suns*,1991,82,55,27,West,240.6,43.6,87.8,0.496,1.7,5.3,0.319,41.9,82.5,0.508,25.2,32.7,0.77,13.8,31.7,26.9,8.4,6.5,15.9,22.6,114
5,Indiana Pacers*,1991,82,41,41,East,241.5,42.1,85.3,0.493,3,9.1,0.332,39,76.2,0.513,24.5,30.2,0.811,12.4,29,26.6,8,4.4,16.5,25.5,111.7
6,Boston Celtics*,1991,82,56,26,East,241.5,45.1,88,0.512,1.3,4.2,0.315,43.7,83.8,0.522,20.1,24.4,0.824,13.3,32.9,26.3,8.2,6.9,16.1,20.7,111.5
7,Chicago Bulls*,1991,82,61,21,East,240.9,44.3,86.9,0.51,1.9,5.2,0.366,42.4,81.7,0.519,19.6,25.7,0.76,14,28.6,27,10,5.3,14.4,21.4,110
8,Atlanta Hawks*,1991,82,43,39,East,240.9,40.8,88.1,0.464,3.3,10.2,0.324,37.5,77.9,0.482,24.8,31,0.8,15.1,29.5,22.7,8.9,4.6,15,21.6,109.8
